Date,Year,Month,Day,Event
1820-3-,1820,3,,"The Evans family move to Griff, a neighbouring village."
1824--,1824,,,"Attends Mrs Moore's dame school across the road from Griff House with her brother Isaac, at this stage an inseparable playmate and friend. In this or the following year, Isaac sent to school at Foleshill, near Coventry, and GE sent to join her sister Chrissey at Miss Lathom's boarding school, Attleborough, near Nuneaton, where she remains a pupil until 1827."
1827--,1827,,,"GE, having to return Scott's Waverley before being able to finish, begins to write out the rest of the story for herself."
1828--,1828,,,"Sent to Mrs Wallington 's boarding school, Nuneaton. Maria Lewis, the principal governess, of earnest Evangelical outlook, takes an immediate interest in GE, soon becoming her 'most important early influence' (Haight p. 8). GE becomes thoroughly acquainted with the Bible at this school, and witnesses Nuneaton's Evangelical arousal by John Edmund Jones, whose ministry, which begins this year, was to suggest much of 'Janet's Repentance'."
1832--,1832,,,"Sent to the Miss Franklins' school, Coventry, where she acquires greater social accomplishments and experience, as well as furthering her academic proficiency and developing her talents as artist and pianist. Makes her first acquaintance with many English authors. Reading most notably includes Shakespeare, Milton, Watts, Pope, Young, Cowper, Southey, Moore and Byron. Especially distinguishes herself in English composition."
1835-7-,1835,7,,Health of GE's mother is declined sufficiently for Robert Evans to take her out in a four-wheeled carriage rather than a gig.
1835-12-,1835,12,,Leaves the Miss Franklins' school.
1838--,1838,,,"Reading, especially of religious works, very considerable at this time. Reputation as a learned lady begins to spread in the neighbourhood, Henry Harpur, squire of Chilvers Coton, lending her some of the Tracts for the Times, and Maria Newdegate offering the use of the Arbury Hall library."
1839-2-,1839,2,,"Visited at Griff for two to three weeks early in the year by her Methodist aunt, Elizabeth Evans, with whom she debates predestination. The germ of Adam Bede develops from Elizabeth Evans' s story of persuading a young child-murderer to die penitent. Later in the year, begins to compile a chronological chart of ecclesiastical history. Begins Italian lessons with Joseph Brezzi."
1839-2-,1839,2,,"GE is studying Latin and Greek, in addition to her Italian lessons."
1839-7-,1839,7,,"Visited at Griff by Jessie Barclay, a schoolfriend, one of several such visitors at this time. "
1839-11-,1839,11,,"With her father, and accompanied by Jessie Barclay, visits London for five days, making her first journey by railway."
1840-1-,1840,1,,GE begins German lessons
1840-1-,1840,1,,"As o'er the Fields' appears in the Christian Observer, GE's first published work, signed 'M. A. E.' Also publishes ‘Knowing that shortly I must…,' which Haight's biography references as ""Farewell"" (p 585); reproduced by Cross "
1840-3-,1840,3,,Buys Keble's Christian Year.
1842--,1842,,,Writes “Mind the rich store of nature’s gifts”.
