Date,Year,Month,Day,Weekday,Event
1819-11-22,1819,11,22,Monday,"GE born as Mary Anne Evans at South Farm, Arbury, near Nuneaton, Warwickshire, daughter of Robert Evans, 'the one deep strong love I have ever known' (Cross 1: 284) and his second wife Christiana, neé Pearson (1816-59). GE, the 29 youngest of his five surviving children: Robert (half-brother to GE, b. 1802), Frances (or Fanny, half-sister, b. 1805), Christiana (or Chrissey, b. 1814), and Isaac (b. 1816)."
1819-11-29,1819,11,29,Monday,"Baptised at Chilvers Coton church."
1821-03-16,1821,3,16,Friday,"Birth of GE's twin brothers William and Thomas Evans (lived only 10 days)."
1826-05-18,1826,5,18,Thursday,"Begins first journey away from home, visiting Derbyshire and Staffordshire in the company of her father and mother."
1832-12-21,1832,12,21,Friday,"Two days of rioting, witnessed by GE, and subsequently influential on the composition of Felix Holt, begin at Nuneaton during the election for the North Warwickshire constituency."
1834-03-16,1834,3,16,Sunday,"Begins School Notebook (Beinecke), dated and signed Marianne Evans containing essay on 'Affectation and Conceit', poem On Being Called a Saint, and story 'Edward Neville' (Haight, pp. 553–60)."
1834-11-22,1834,11,22,Saturday,"Fifteenth birthday. About this time has Evangelical conversion experience: 'One feels certain that it struck Mary Anne suddenly and hard' (Haight, p. 19). Begins to neglect her personal appearance in order to demonstrate her anxiety for the state of her soul."
1835-12-31,1835,12,31,Thursday,"Robert Evans suffers acute attack of kidney stone, an illness from which he never completely recovers."
1836-01-06,1836,1,6,Wednesday,"Apologises for failing to send Maria Lewis details of her mother's health, the reason being her father's sudden illness."
1836-02-03,1836,2,3,Wednesday,"Death of her mother, Christiana Evans. GE’s duties and emotional support help to compensate for the loss in her father's life."
1836-12-25,1836,12,25,Sunday,"Receives Holy Communion for the first time."
1837-05-20,1837,5,20,Saturday,"Acts as bridesmaid for Chrissey at her wedding to Edward Clarke, a medical practitioner at Meriden, near Coventry. GE takes over household management duties for her father after Chrissey's marriage and subsequent departure."
1838-05-26,1838,5,26,Saturday,"Invites Maria Lewis to stay with her in the coming holidays."
1838-08-18,1838,8,18,Saturday,"Sends Maria Lewis details of a recent week-long visit to London with Isaac, with whom she went to services at St Bride's and St Paul's, but refused to attend the theatre."
1838-09-04,1838,9,4,Tuesday,"Writes to Martha Jackson, declaring that it is the duty of Christians 'to aim as perseveringly at perfection as if they believed it to be soon attainable' and condemning a recently heard oratorio concert in Coventry (Cross 1: 9)."
